trajectory,training_seed,psnr,ssim,lpips,raw_depth_abs_rel,raw_depth_rmse,raw_depth_delta1,median_aligned_depth_abs_rel,median_aligned_depth_rmse,median_aligned_depth_delta1,geometry_accuracy_mean_m,geometry_completeness_mean_m,geometry_chamfer_l1_mean_m,geometry_precision_05cm,geometry_recall_05cm,geometry_fscore_05cm,geometry_precision_10cm,geometry_recall_10cm,geometry_fscore_10cm
kt0,42,1.2898139953613281,0.03794342279434204,-0.043122828006744385,-0.04091472029685972,0.010907618901396354,0.08513599999999999,0.03132970333099361,0.3689690457534849,-0.011623999999999995,0.06081799130324933,0.0019215345030627606,0.03136976290315602,0.04368122191425511,-0.007761587026121397,0.041557268035051775,0.0287782360679692,-0.031680679812094104,0.02121806782639446
kt0,43,2.5224056243896484,0.03885972499847412,-0.07691264152526855,-0.1648642733693123,-0.2502952338182247,0.136384,-0.18046077489852907,-0.7105058140074403,0.04544575000000001,0.004872139017149391,-0.0050000408976308,-6.395094024069792e-05,0.04869701009853894,0.05641961640884474,0.06010242189145237,0.04876127474019454,0.009305526465395952,0.04986394579257181
kt1,42,-0.08266258239746094,-0.007866382598876953,-0.004403173923492432,-0.022411346435546875,-0.05856231675809376,0.021087999999999996,-0.051370446383953106,-0.15213852047167653,0.02058074999999998,-0.00110121233439614,-0.0006076805518084039,-0.0008544464431022858,-0.001938537177284927,0.02920309169926605,0.004081737722132828,-0.004823433210166039,0.004791132231910855,-0.0037869342232756953
kt1,43,-0.3841981887817383,-0.011482834815979004,0.013750195503234863,-0.021988312900066365,-0.05954607367983722,-0.005814999999999987,-0.030294980108737934,-0.09538803905368765,0.014107000000000036,-0.01961996902352031,0.009305199759303329,-0.005157384632108464,0.01611737207694236,0.04379907293538926,0.02375362869003514,0.024446397687696686,0.00026710144846886497,0.02417657410726365
kt2,42,0.24500370025634766,0.06304159760475159,-0.03684455156326294,0.07156308591365812,0.18985109091131935,-0.09181975,-0.05930524319410324,-0.3593469610956541,-0.008817999999999993,0.09146254259814807,0.07165180863553647,0.08155717561684223,-0.05230890132671745,-0.14886370885821265,-0.07905052564041846,-0.08099986049333746,-0.14943786590243258,-0.11654680381035643
kt2,43,1.132720947265625,0.06181246042251587,-0.0614471435546875,0.02328498065471646,0.09057668307768596,-0.068636,-0.03700501471757889,-0.05848561964277321,0.0443905,-0.02098891260426089,0.06670537226415432,0.022858229829946675,-0.031943725891826355,-0.14181678992231705,-0.05265309920737421,-0.04396946709259436,-0.1803736437380078,-0.07123890019348739
kt3,42,0.5019302368164062,-0.0014516115188598633,-0.013699471950531006,-0.0029435098171234353,-0.010998037684752049,0.005538000000000001,0.03513711839914324,-1.2857995612182256,-0.06905699999999998,0.017569586732736397,0.0002406840266841459,0.008905135379710272,0.00785796612742419,0.006565297142341664,0.01007758696295169,0.0070847783146932575,-0.03552276804955545,0.004989356973314818
kt3,43,-0.12730026245117188,0.033374786376953125,0.03807777166366577,0.12037791609764104,0.28835733700547883,-0.04083175,0.3016742840409279,1.5184519711378288,-0.113532,0.06249551768594119,0.03485865873261662,0.04867708820927891,-0.01144173700574791,-0.07148656369340561,-0.020470555967394805,-0.023539294318430215,-0.08915773752844136,-0.037272711737135034
