trajectory,training_seed,candidate_frames,depth_gradient_spearman,depth_gradient_auroc,depth_gradient_auprc,depth_gradient_risk_coverage_auc,depth_gradient_ause
kt0,42,165,0.21861586290303203,0.7824223644893269,0.4875351206066698,0.6773032981616091,0.3460319190511135
kt0,43,165,0.24404572114031964,0.794665315017504,0.5025904748339685,0.6496930500503484,0.3292664889772546
kt1,42,170,0.10013757040831359,0.705452289512965,0.3146715484095316,0.7343908589885568,0.43332855491692274
kt1,43,170,0.17702869702337687,0.720103389280083,0.32714433957761746,0.7442769562193792,0.42751650940846153
kt2,42,165,0.07855936699102986,0.6782408528355598,0.3310207789251182,0.6512697963602309,0.35894382420105025
kt2,43,165,0.14920681834244018,0.7159612743458414,0.37758988404534904,0.7562465186235539,0.4187888249045661
kt3,42,165,0.09063616078993406,0.661958906799748,0.32068886933135665,0.6455138671999257,0.37696544207936267
kt3,43,165,0.07066053003539943,0.6721688349380421,0.32835374696517344,0.7273448600572014,0.43671146036634484
